Name;Edition;Qty;Rarity;Color;Cost;Type;P/T;Text;Comment
Beetleform Mage;DGM;15;C;Gld;1GU;Creature - Human Insect Wizard;2/2;%G%U: Beetleform Mage gets +2/+2 and gains flying until end of turn. Activate this ability only once each turn.;
Bellows Lizard;RTR;4;C;R;R;Creature - Lizard;1/1;%1%R: Bellows Lizard gets +1/+0 until end of turn.;
Biovisionary;GTC;1;R;Gld;1GU;Creature - Human Wizard;2/3;At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game.;
Black Cat;DKA;1;C;B;1B;Creature - Zombie Cat;1/1;When Black Cat dies, target opponent discards a card at random.;
Bladetusk Boar;M13;6;C;R;3R;Creature - Boar;3/2;Intimidate #(This creature canﾒt be blocked except by artifact creatures and/or creatures that share a color with it.)#;
Blaze Commando;DGM;11;U;Gld;3RW;Creature - Minotaur Soldier;5/3;Whenever an instant or sorcery spell you control deals damage, put two 1/1 red and white Soldier creature tokens with haste onto the battlefield.;
Blightcaster;M14;4;U;B;3B;Creature - Human Wizard;2/3;Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.;
Blind-Spot Giant;MMA;4;C;R;2R;Creature - Giant Warrior;4/3;Blind-Spot Giant canﾒt attack or block unless you control another Giant.;
Blistercoil Weird;RTR;1;U;Gld;%I;Creature - Weird;1/1;Whenever you cast an instant or sorcery spell, Blistercoil Weird gets +1/+1 until end of turn. Untap it.;
Blood Bairn;M14;10;C;B;2B;Creature - Vampire;2/2;Sacrifice another creature: Blood Bairn gets +2/+2 until end of turn.;
Blood Baron of Vizkopa;DGM;2;M;Gld;3WB;Creature - Vampire;4/4;"Lifelink, protection from white and from black
As long as you have 30 or more life and an opponent has 10 or less life, Blood Baron of Vizkopa gets +6/+6 and has flying.";
Blood Scrivener;DGM;1;R;B;1B;Creature - Zombie Wizard;2/1;If you would draw a card while you have no cards in hand, instead draw two cards and lose 1 life.;
Bloodcrazed Neonate;ISD;1;C;R;1R;Creature - Vampire;2/1;"Bloodcrazed Neonate attacks each turn if able.
Whenever Bloodcrazed Neonate deals combat damage to a player, put a +1/+1 counter on it.";
Bloodghast;ZEN;2;R;B;BB;Creature - Vampire Spirit;2/1;"Bloodghast canﾒt block.
Bloodghast has haste as long as an opponent has 10 or less life.
#Landfall# ﾗ Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield.";
Bloodhunter Bat;M13;5;C;B;3B;Creature - Bat;2/2;"Flying
When Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.";
Bloodmark Mentor;DDG;4;U;R;1R;Creature - Goblin Warrior;1/1;Red creatures you control have first strike.;
Bloodthrone Vampire;M13;4;C;B;1B;Creature - Vampire;1/1;Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.;
Blur Sliver;M14;5;C;R;2R;Creature - Sliver;2/2;Sliver creatures you control have haste. #(They can attack and %T as soon as they come under your control.)#;
Bogbrew Witch;M14;3;R;B;3B;Creature - Human Wizard;1/3;%2, %T: Search your library for a card named Festering Newt or Bubbling Cauldron, put it onto the battlefield tapped, then shuffle your library.;
Boggart Mob;LRW;1;R;B;3B;Creature - Goblin Warrior;5/5;"Champion a Goblin #(When this enters the battlefield, sacrifice it unless you exile another Goblin you control. When this leaves the battlefield, that card returns to the battlefield.)#
Whenever a Goblin you control deals combat damage to a player, you may put a 1/1 black Goblin Rogue creature token onto the battlefield.";
Bomber Corps;GTC;8;C;R;1R;Creature - Human Soldier;1/2;#Battalion# ﾗ Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player.;
Bond Beetle;M13;5;C;G;G;Creature - Insect;0/1;When Bond Beetle enters the battlefield, put a +1/+1 counter on target creature.;
Bonescythe Sliver;GAM;1;;W;3W;Creature - Sliver;2/2;Sliver creatures you control have double strike. #(They deal both first-strike and regular combat damage.)#;
Borderland Ranger;AVR;1;C;G;2G;Creature - Human Scout;2/2;When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.;
Boros Battleshaper;DGM;4;R;Gld;5RW;Creature - Minotaur Soldier;5/5;At the beginning of each combat, up to one target creature attacks or blocks this combat if able and up to one target creature canﾒt attack or block this combat.;
Boros Elite;GTC;5;U;W;W;Creature - Human Soldier;1/1;#Battalion# ﾗ Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.;
Boros Mastiff;DGM;15;C;W;1W;Creature - Hound;2/2;#Battalion# ﾗ Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. #(Damage dealt by a creature with lifelink also causes its controller to gain that much life.)#;
Boros Reckoner;GTC;1;R;Gld;%P%P%P;Creature - Minotaur Wizard;3/3;"Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player.
%P: Boros Reckoner gains first strike until end of turn.";
Briarpack Alpha;DKA;1;U;G;3G;Creature - Wolf;3/3;"Flash #(You may cast this spell any time you could cast an instant.)#
When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.";
Briarpack Alpha;M14;4;U;G;3G;Creature - Wolf;3/3;"Flash #(You may cast this spell any time you could cast an instant.)#
When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.";
Brindle Boar;M14;8;C;G;2G;Creature - Boar;2/2;Sacrifice Brindle Boar: You gain 4 life.;
Bronzebeak Moa;DGM;5;U;Gld;2GW;Creature - Bird;2/2;Whenever another creature enters the battlefield under your control, Bronzebeak Moa gets +3/+3 until end of turn.;
Brushstrider;RTR;1;U;G;1G;Creature - Beast;3/1;Vigilance;
Burning-Tree Emissary;GTC;1;U;Gld;%L%L;Creature - Human Shaman;2/2;When Burning-Tree Emissary enters the battlefield, add %R%G to your mana pool.;
Canyon Minotaur;M13;9;C;R;3R;Creature - Minotaur Warrior;3/3;;
Canyon Minotaur;M11;7;C;R;3R;Creature - Minotaur Warrior;3/3;;
Capashen Knight;M14;9;C;W;1W;Creature - Human Knight;1/1;"First strike #(This creature deals combat damage before creatures without first strike.)#
%1%W: Capashen Knight gets +1/+0 until end of turn.";
Captain of the Watch;M13;2;R;W;4WW;Creature - Human Soldier;3/3;"Vigilance #(Attacking doesnﾒt cause this creature to tap.)#
Other Soldier creatures you control get +1/+1 and have vigilance.
When Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield.";
Carnage Gladiator;DGM;8;U;Gld;2BR;Creature - Skeleton Warrior;4/2;"Whenever a creature blocks, that creatureﾒs controller loses 1 life.
%1%B%R: Regenerate Carnage Gladiator.";
Cartel Aristocrat;GTC;2;U;Gld;WB;Creature - Human Advisor;2/2;Sacrifice another creature: Cartel Aristocrat gains protection from the color of your choice until end of turn.;
Catacomb Slug;RTR;1;C;B;4B;Creature - Slug;2/6;;
Cathedral Sanctifier;AVR;1;C;W;W;Creature - Human Cleric;1/1;When Cathedral Sanctifier enters the battlefield, you gain 3 life.;
Cemetery Reaper;M10;1;R;B;1BB;Creature - Zombie;2/2;"Other Zombie creatures you control get +1/+1.
%2%B, %T: Exile target creature card from a graveyard. Put a 2/2 black Zombie creature token onto the battlefield.";
Centaur Courser;M13;4;C;G;2G;Creature - Centaur Warrior;3/3;;
Centaur Healer;RTR;5;C;Gld;1GW;Creature - Centaur Cleric;3/3;When Centaur Healer enters the battlefield, you gain 3 life.;
Centaur's Herald;RTR;2;C;G;G;Creature - Elf Scout;0/1;%2%G, Sacrifice Centaurﾒs Herald: Put a 3/3 green Centaur creature token onto the battlefield.;
Chandra's Phoenix;FBP;2;;R;1RR;Creature - Phoenix;2/2;"Flying
Haste #(This creature can attack and %T as soon as it comes under your control.)#
Whenever an opponent is dealt damage by a red instant or sorcery spell you control or by a red planeswalker you control, return Chandraﾒs Phoenix from your graveyard to your hand.";
Chapel Geist;ISD;1;C;W;1WW;Creature - Spirit;2/3;Flying;
Charging Griffin;M14;9;C;W;3W;Creature - Griffin;2/2;"Flying
Whenever Charging Griffin attacks, it gets +1/+1 until end of turn.";
Child of Night;M11;11;C;B;1B;Creature - Vampire;2/1;Lifelink #(Damage dealt by this creature also causes you to gain that much life.)#;
Chronomaton;M13;7;U;Art;1;Artifact Creature - Golem;1/1;%1, %T: Put a +1/+1 counter on Chronomaton.;
Cinder Elemental;GTC;2;U;R;3R;Creature - Elemental;2/2;%X%R, %T, Sacrifice Cinder Elemental: Cinder Elemental deals X damage to target creature or player.;
Citanul Woodreaders;MMA;4;C;G;2G;Creature - Human Druid;1/4;"Kicker %2%G #(You may pay an additional %2%G as you cast this spell.)#
When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.";
Clinging Anemones;GTC;7;C;U;3U;Creature - Jellyfish;1/4;"Defender
Evolve #(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)#";
Clone;ON;2;R;U;3U;Creature - Shapeshifter;0/0;You may have Clone enter the battlefield as a copy of any creature on the battlefield.;
Cloudfin Raptor;GTC;3;C;U;U;Creature - Bird Mutant;0/1;"Flying
Evolve #(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)#";
Cloudgoat Ranger;MMA;1;U;W;3WW;Creature - Giant Warrior;3/3;"When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens onto the battlefield.
Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.";
Cobblebrute;RTR;3;C;R;3R;Creature - Elemental;5/2;;
Colossal Whale;M14;2;R;U;5UU;Creature - Whale;5/5;"Islandwalk #(This creature canﾒt be blocked as long as defending player controls an Island.)#
Whenever Colossal Whale attacks, you may exile target creature defending player controls until Colossal Whale leaves the battlefield. #(That creature returns under its ownerﾒs control.)#";
Concordia Pegasus;RTR;1;C;W;1W;Creature - Pegasus;1/3;Flying;
Consuming Aberration;GTC;2;R;Gld;3UB;Creature - Horror;*/*;"Consuming Aberrationﾒs power and toughness are each equal to the number of cards in your opponentsﾒ graveyards.
Whenever you cast a spell, each opponent reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.";
Coral Merfolk;M12;5;C;U;1U;Creature - Merfolk;2/1;;
Corpse Blockade;GTC;6;C;B;2B;Creature - Zombie;1/4;"Defender
Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn.";
Corpse Hauler;M14;6;C;B;1B;Creature - Human Rogue;2/1;%2%B, Sacrifice Corpse Hauler: Return another target creature card from your graveyard to your hand.;
Corpsejack Menace;RTR;4;R;Gld;2BG;Creature - Fungus;4/4;If one or more +1/+1 counters would be placed on a creature you control, twice that many +1/+1 counters are placed on it instead.;
Council of the Absolute;DGM;1;M;Gld;2WU;Creature - Human Advisor;2/4;"As Council of the Absolute enters the battlefield, name a card other than a creature or land card.
Your opponents canﾒt cast cards with the chosen name.
Spells with the chosen name you cast cost %2 less to cast.";
Countryside Crusher;MMA;1;R;R;1RR;Creature - Giant Warrior;3/3;"At the beginning of your upkeep, reveal the top card of your library. If itﾒs a land card, put it into your graveyard and repeat this process.
Whenever a land card is put into your graveyard from anywhere, put a +1/+1 counter on Countryside Crusher.";
Court Homunculus;CFX;2;C;W;W;Artifact Creature - Homunculus;1/1;Court Homunculus gets +1/+1 as long as you control another artifact.;
Court Street Denizen;GTC;6;C;W;2W;Creature - Human Soldier;2/2;Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.;
Courtly Provocateur;M13;4;U;U;2U;Creature - Human Wizard;1/1;"%T: Target creature attacks this turn if able.
%T: Target creature blocks this turn if able.";
Crimson Muckwader;M13;4;U;R;1R;Creature - Lizard;2/1;"Crimson Muckwader gets +1/+1 as long as you control a Swamp.
%2%B: Regenerate Crimson Muckwader. #(The next time this creature would be destroyed this turn, it isnﾒt. Instead tap it, remove all damage from it, and remove it from combat.)#";
Crocanura;GTC;5;C;G;2G;Creature - Crocodile Frog;1/3;"Reach #(This creature can block creatures with flying.)#
Evolve #(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)#";
Crosstown Courier;RTR;7;C;U;1U;Creature - Vedalken;2/1;Whenever Crosstown Courier deals combat damage to a player, that player puts that many cards from the top of his or her library into his or her graveyard.;
Crossway Vampire;ISD;2;C;R;1RR;Creature - Vampire;3/2;When Crossway Vampire enters the battlefield, target creature canﾒt block this turn.;
Crusader of Odric;M13;7;U;W;2W;Creature - Human Soldier;*/*;Crusader of Odricﾒs power and toughness are each equal to the number of creatures you control.;
Crypt Creeper;AVR;2;C;B;1B;Creature - Zombie;2/1;Sacrifice Crypt Creeper: Exile target card from a graveyard.;
Cryptborn Horror;RTR;1;R;Gld;1%K%K;Creature - Horror;0/0;"Trample
Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.";
Cyclops Tyrant;M14;5;C;R;5R;Creature - Cyclops;3/4;"Intimidate #(This creature canﾒt be blocked except by artifact creatures and/or creatures that share a color with it.)#
Cyclops Tyrant canﾒt block creatures with power 2 or less.";
Daggerdrome Imp;RTR;1;C;B;1B;Creature - Imp;1/1;"Flying
Lifelink #(Damage dealt by this creature also causes you to gain that much life.)#";
Daring Skyjek;GTC;6;C;W;1W;Creature - Human Knight;3/1;#Battalion# ﾗ Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.;
Dark Revenant;RTR;2;U;B;3B;Creature - Spirit;2/2;"Flying
When Dark Revenant dies, put it on top of its ownerﾒs library.";
Darkthicket Wolf;ISD;1;C;G;1G;Creature - Wolf;2/2;%2%G: Darkthicket Wolf gets +2/+2 until end of turn. Activate this ability only once each turn.;
Dawnstrike Paladin;M14;10;C;W;3WW;Creature - Human Knight;2/4;"Vigilance #(Attacking doesnﾒt cause this creature to tap.)#
Lifelink #(Damage dealt by this creature also causes you to gain that much life.)#";
Dead Reveler;RTR;2;C;B;2B;Creature - Zombie;2/3;Unleash #(You may have this creature enter the battlefield with a +1/+1 counter on it. It canﾒt block as long as it has a +1/+1 counter on it.)#;
Deadly Recluse;M10;7;C;G;1G;Creature - Spider;1/2;"Reach #(This creature can block creatures with flying.)#
Deathtouch #(Any amount of damage this deals to a creature is enough to destroy it.)#";
Deadly Recluse;M13;4;C;G;1G;Creature - Spider;1/2;"Reach #(This creature can block creatures with flying.)#
Deathtouch #(Any amount of damage this deals to a creature is enough to destroy it.)#";
Deathcult Rogue;GTC;8;C;Gld;1%V%V;Creature - Human Rogue;2/2;Deathcult Rogue canﾒt be blocked except by Rogues.;
Deathgaze Cockatrice;M14;7;C;B;2BB;Creature - Cockatrice;2/2;"Flying
Deathtouch #(Any amount of damage this deals to a creature is enough to destroy it.)#";
Deathpact Angel;GTC;1;M;Gld;3WBB;Creature - Angel;5/5;"Flying
When Deathpact Angel dies, put a 1/1 white and black Cleric creature token onto the battlefield. It has ﾓ%3%W%B%B, %T, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield.ﾔ";
Deepcavern Imp;FUT;6;C;B;2B;Creature - Imp Rebel;2/2;"Flying, haste
EchoﾗDiscard a card. #(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)#";
Deputy of Acquittals;DGM;11;C;Gld;WU;Creature - Human Wizard;2/2;"Flash #(You may cast this spell any time you could cast an instant.)#
When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its ownerﾒs hand.";
Deranged Assistant;ISD;2;C;U;1U;Creature - Human Wizard;1/1;%T, Put the top card of your library into your graveyard: Add %1 to your mana pool.;
Desecration Demon;RTR;1;R;B;2BB;Creature - Demon;6/6;"Flying
At the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.";
Diregraf Captain;DKA;4;U;Gld;1UB;Creature - Zombie Soldier;2/2;"Deathtouch
Other Zombie creatures you control get +1/+1.
Whenever another Zombie you control dies, target opponent loses 1 life.";
Disciple of the Old Ways;GTC;2;C;G;1G;Creature - Human Warrior;2/2;%R: Disciple of the Old Ways gains first strike until end of turn.;
Dragon Egg;M14;2;U;R;2R;Creature - Dragon;0/2;"Defender #(This creature canﾒt attack.)#
When Dragon Egg dies, put a 2/2 red Dragon creature token with flying onto the battlefield. It has ﾓ%R: This creature gets +1/+0 until end of turn.ﾔ";
Dragon Hatchling;M13;17;C;R;1R;Creature - Dragon;0/1;"Flying
%R: Dragon Hatchling gets +1/+0 until end of turn.";
Drainpipe Vermin;RTR;2;C;B;B;Creature - Rat;1/1;When Drainpipe Vermin dies, you may pay %B. If you do, target player discards a card.;
Drakewing Krasis;GTC;2;C;Gld;1GU;Creature - Lizard Drake;3/1;Flying, trample;
Dreg Mangler;RTR;1;U;Gld;1BG;Creature - Plant Zombie;3/3;"Haste
Scavenge %3%B%G #(%3%B%G, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this cardﾒs power on target creature. Scavenge only as a sorcery.)#";
Driver of the Dead;AVR;1;C;B;3B;Creature - Vampire;3/2;When Driver of the Dead dies, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.;
Drogskol Captain;DKA;1;U;Gld;1WU;Creature - Spirit Soldier;2/2;"Flying
Other Spirit creatures you control get +1/+1 and have hexproof. #(They canﾒt be the targets of spells or abilities your opponents control.)#";
Drudge Beetle;RTR;1;C;G;1G;Creature - Insect;2/2;Scavenge %5%G #(%5%G, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this cardﾒs power on target creature. Scavenge only as a sorcery.)#;
Durkwood Baloth;MMA;2;C;G;4GG;Creature - Beast;5/5;Suspend 5ﾗ%G #(Rather than cast this card from your hand, you may pay %G and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)#;
Duskdale Wurm;M13;4;U;G;5GG;Creature - Wurm;7/7;Trample #(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#;
Duskmantle Guildmage;GTC;4;U;Gld;UB;Creature - Human Wizard;2/2;"%1%U%B: Whenever a card is put into an opponentﾒs graveyard from anywhere this turn, that player loses 1 life.
%2%U%B: Target player puts the top two cards of his or her library into his or her graveyard.";
Duskmantle Prowler;M13;4;U;B;3B;Creature - Vampire Rogue;2/2;"Haste #(This creature can attack and %T as soon as it comes under your control.)#
Exalted #(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)#";
Dutiful Thrull;GTC;2;C;W;W;Creature - Thrull;1/1;%B: Regenerate Dutiful Thrull.;
Duty-Bound Dead;M13;5;C;B;B;Creature - Skeleton;0/2;"Exalted #(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)#
%3%B: Regenerate Duty-Bound Dead. #(The next time this creature would be destroyed this turn, it isnﾒt. Instead tap it, remove all damage from it, and remove it from combat.)#";
Earwig Squad;MMA;4;R;B;3BB;Creature - Goblin Rogue;5/3;"Prowl %2%B #(You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)#
When Earwig Squad enters the battlefield, if its prowl cost was paid, search target opponentﾒs library for three cards and exile them. Then that player shuffles his or her library.";
Elgaud Inquisitor;DKA;2;C;W;3W;Creature - Human Cleric;2/2;"Lifelink #(Damage dealt by this creature also causes you to gain that much life.)#
When Elgaud Inquisitor dies, put a 1/1 white Spirit creature token with flying onto the battlefield.";
Elgaud Shieldmate;AVR;1;C;U;3U;Creature - Human Soldier;2/3;"Soulbond #(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)#
As long as Elgaud Shieldmate is paired with another creature, both creatures have hexproof. #(They canﾒt be the targets of spells or abilities your opponents control.)#";
Elite Arcanist;M14;2;R;U;3U;Creature - Human Wizard;1/1;"When Elite Arcanist enters the battlefield, you may exile an instant card from your hand.
%X, %T: Copy the exiled card. You may cast the copy without paying its mana cost. X is the converted mana cost of the exiled card.";
Elusive Krasis;GTC;5;U;Gld;1GU;Creature - Fish Mutant;0/4;"Elusive Krasis is unblockable.
Evolve #(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)#";
Elvish Mystic;M14;5;C;G;G;Creature - Elf Druid;1/1;%T: Add %G to your mana pool.;
Elvish Visionary;M13;5;C;G;1G;Creature - Elf Shaman;1/1;When Elvish Visionary enters the battlefield, draw a card.;
Emancipation Angel;AVR;1;U;W;1WW;Creature - Angel;3/3;"Flying
When Emancipation Angel enters the battlefield, return a permanent you control to its ownerﾒs hand.";
Ember Beast;GTC;5;C;R;2R;Creature - Beast;3/4;Ember Beast canﾒt attack or block alone.;
Ember Hauler;M11;2;U;R;RR;Creature - Goblin;2/2;%1, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to target creature or player.;
Emmara Tandris;DGM;1;R;Gld;5GW;Legendary Creature - Elf Shaman;5/7;Prevent all damage that would be dealt to creature tokens you control.;
Exava, Rakdos Blood Witch;DGM;1;R;Gld;2BR;Legendary Creature - Human Cleric;3/3;"First strike, haste
Unleash #(You may have this creature enter the battlefield with a +1/+1 counter on it. It canﾒt block as long as it has a +1/+1 counter on it.)#
Each other creature you control with a +1/+1 counter on it has haste.";
Experiment One;GTC;4;U;G;G;Creature - Human Ooze;1/1;"Evolve #(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)#
Remove two +1/+1 counters from Experiment One: Regenerate Experiment One.";
Faerie Impostor;RTR;6;U;U;U;Creature - Faerie Rogue;2/1;"Flying
When Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its ownerﾒs hand.";
Faerie Macabre;SHM;2;C;B;1BB;Creature - Faerie Rogue;2/2;"Flying
Discard Faerie Macabre: Exile up to two target cards from graveyards.";
Faerie Mechanist;CFX;3;C;U;3U;Artifact Creature - Faerie Artificer;2/2;"Flying
When Faerie Mechanist enters the battlefield, look at the top three cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.";
Falkenrath Exterminator;AVR;1;U;R;1R;Creature - Vampire Archer;1/1;"Whenever Falkenrath Exterminator deals combat damage to a player, put a +1/+1 counter on it.
%2%R: Falkenrath Exterminator deals damage to target creature equal to the number of +1/+1 counters on Falkenrath Exterminator.";
Falkenrath Noble;ISD;1;U;B;3B;Creature - Vampire;2/2;"Flying
Whenever Falkenrath Noble or another creature dies, target player loses 1 life and you gain 1 life.";
Fencing Ace;RTR;1;U;W;1W;Creature - Human Soldier;1/1;Double strike #(This creature deals both first-strike and regular combat damage.)#;
Feral Animist;DGM;7;U;Gld;1RG;Creature - Goblin Shaman;2/1;%3: Feral Animist gets +X/+0 until end of turn, where X is its power.;
Festering Goblin;ARC;2;C;B;B;Creature - Zombie Goblin;1/1;When Festering Goblin dies, target creature gets -1/-1 until end of turn.;
Festering Newt;M14;11;C;B;B;Creature - Salamander;1/1;When Festering Newt dies, target creature an opponent controls gets -1/-1 until end of turn. That creature gets -4/-4 instead if you control a creature named Bogbrew Witch.;
Fiend Hunter;ISD;1;U;W;1WW;Creature - Human Cleric;1/3;"When Fiend Hunter enters the battlefield, you may exile another target creature.
When Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its ownerﾒs control.";
Fiendslayer Paladin;M14;2;R;W;1WW;Creature - Human Knight;2/2;"First strike #(This creature deals combat damage before creatures without first strike.)#
Lifelink #(Damage dealt by this creature also causes you to gain that much life.)#
Fiendslayer Paladin canﾒt be the target of black or red spells your opponents control.";
Fire Elemental;M13;6;C;R;3RR;Creature - Elemental;5/4;;
Firefist Striker;GTC;2;U;R;1R;Creature - Human Soldier;2/1;#Battalion# ﾗ Whenever Firefist Striker and at least two other creatures attack, target creature canﾒt block this turn.;
Firemane Avenger;GTC;2;R;Gld;2RW;Creature - Angel;3/3;"Flying
#Battalion# ﾗ Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to target creature or player and you gain 3 life.";
Fleshpulper Giant;M14;3;U;R;5RR;Creature - Giant;4/4;When Fleshpulper Giant enters the battlefield, you may destroy target creature with toughness 2 or less.;
Flickerwisp;EVE;4;U;W;1WW;Creature - Elemental;3/1;"Flying
When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its ownerﾒs control at the beginning of the next end step.";
Flinthoof Boar;M13;4;U;G;1G;Creature - Boar;2/2;"Flinthoof Boar gets +1/+1 as long as you control a Mountain.
%R: Flinthoof Boar gains haste until end of turn. #(It can attack and %T this turn.)#";
Fluxcharger;DGM;5;U;Gld;2UR;Creature - Weird;1/5;"Flying
Whenever you cast an instant or sorcery spell, you may switch Fluxchargerﾒs power and toughness until end of turn.";
Fog Bank;M13;4;U;U;1U;Creature - Wall;0/2;"Defender #(This creature canﾒt attack.)#
Flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank.";
Forge Devil;DKA;1;C;R;R;Creature - Devil;1/1;When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.;
Fortress Cyclops;GTC;5;U;Gld;3RW;Creature - Cyclops Soldier;3/3;"Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.
Whenever Fortress Cyclops blocks, it gets +0/+3 until end of turn.";
Foundry Champion;GTC;4;R;Gld;4RW;Creature - Elemental Soldier;4/4;"When Foundry Champion enters the battlefield, it deals damage to target creature or player equal to the number of creatures you control.
%R: Foundry Champion gets +1/+0 until end of turn.
%W: Foundry Champion gets +0/+1 until end of turn.";
Foundry Street Denizen;GTC;2;C;R;R;Creature - Goblin Warrior;1/1;Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.;
Frilled Oculus;GTC;2;C;U;1U;Creature - Homunculus;1/3;%1%G: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.;
Frogmite;MMA;4;C;Art;4;Artifact Creature - Frog;2/2;Affinity for artifacts #(This spell costs %1 less to cast for each artifact you control.)#;
Frostburn Weird;RTR;3;C;Gld;%I%I;Creature - Weird;1/4;%I: Frostburn Weird gets +1/-1 until end of turn.;
Furnace Whelp;M13;4;U;R;2RR;Creature - Dragon;2/2;"Flying
%R: Furnace Whelp gets +1/+0 until end of turn.";
Galerider Sliver;M14;1;R;U;U;Creature - Sliver;1/1;Sliver creatures you control have flying.;
Gang of Devils;AVR;1;U;R;5R;Creature - Devil;3/3;When Gang of Devils dies, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.;
Garruk, Caller of Beasts;M14;2;M;G;4GG;Planeswalker - Garruk;%4#/;"+1: Reveal the top five cards of your library. Put all creature cards revealed this way into your hand and the rest on the bottom of your library in any order.
-3: You may put a green creature card from your hand onto the battlefield.
-7: You get an emblem with ﾓWhenever you cast a creature spell, you may search your library for a creature card, put it onto the battlefield, then shuffle your library.ﾔ";
Garruk's Packleader;M13;4;U;G;4G;Creature - Beast;4/4;Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card.;
Gatecreeper Vine;RTR;3;C;G;1G;Creature - Plant;0/2;"Defender
When Gatecreeper Vine enters the battlefield, you may search your library for a basic land card or a Gate card, reveal it, put it into your hand, then shuffle your library.";
Gatekeeper of Malakir;DDK;1;U;B;BB;Creature - Vampire Warrior;2/2;"Kicker %B #(You may pay an additional %B as you cast this spell.)#
When Gatekeeper of Malakir enters the battlefield, if it was kicked, target player sacrifices a creature.";
Gateway Shade;GTC;2;U;B;2B;Creature - Shade;1/1;"%B: Gateway Shade gets +1/+1 until end of turn.
Tap an untapped Gate you control: Gateway Shade gets +2/+2 until end of turn.";
Geist Trappers;AVR;1;C;G;4G;Creature - Human Warrior;3/5;"Soulbond #(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)#
As long as Geist Trappers is paired with another creature, both creatures have reach.";
